                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 50.313,                      0,                      0,                      0,                      0,                      0,                      0,                 23.641,                      0,              2.646e-05,              2.646e-05,              2.646e-05
                      2,                      0,                 48.491,                      0,                      0,                      0,                      0,                      0,                      0,                 23.678,                      0,             5.5307e-05,             5.5307e-05,             5.5307e-05
                      3,                      0,                  47.44,                      0,                      0,                      0,                      0,                      0,                      0,                 23.742,                      0,             8.3572e-05,             8.3572e-05,             8.3572e-05
                      4,                      0,                 46.722,                      0,                      0,                      0,                      0,                      0,                      0,                   23.8,                      0,             0.00011125,             0.00011125,             0.00011125
                      5,                      0,                 46.162,                      0,                      0,                      0,                      0,                      0,                      0,                 23.818,                      0,             0.00013836,             0.00013836,             0.00013836
                      6,                      0,                 45.726,                      0,                      0,                      0,                      0,                      0,                      0,                 23.645,                      0,             0.00016487,             0.00016487,             0.00016487
                      7,                      0,                 45.296,                      0,                      0,                      0,                      0,                      0,                      0,                 23.406,                      0,             0.00019081,             0.00019081,             0.00019081
                      8,                      0,                 44.939,                      0,                      0,                      0,                      0,                      0,                      0,                 23.081,                      0,             0.00021616,             0.00021616,             0.00021616
                      9,                      0,                  44.64,                      0,                      0,                      0,                      0,                      0,                      0,                 22.688,                      0,             0.00024094,             0.00024094,             0.00024094
                     10,                      0,                 44.332,                      0,                      0,                      0,                      0,                      0,                      0,                 22.292,                      0,             0.00026513,             0.00026513,             0.00026513
                     11,                      0,                 44.069,                      0,                      0,                      0,                      0,                      0,                      0,                 21.985,                      0,             0.00026489,             0.00026489,             0.00026489
                     12,                      0,                 43.832,                      0,                      0,                      0,                      0,                      0,                      0,                 21.736,                      0,             0.00026489,             0.00026489,             0.00026489
                     13,                      0,                 43.531,                      0,                      0,                      0,                      0,                      0,                      0,                 21.573,                      0,             0.00026198,             0.00026198,             0.00026198
                     14,                      0,                 43.323,                      0,                      0,                      0,                      0,                      0,                      0,                 21.502,                      0,             0.00025907,             0.00025907,             0.00025907
                     15,                      0,                 43.068,                      0,                      0,                      0,                      0,                      0,                      0,                 21.421,                      0,             0.00025616,             0.00025616,             0.00025616
                     16,                      0,                 42.816,                      0,                      0,                      0,                      0,                      0,                      0,                 21.462,                      0,             0.00025325,             0.00025325,             0.00025325
                     17,                      0,                 42.554,                      0,                      0,                      0,                      0,                      0,                      0,                 21.462,                      0,             0.00025034,             0.00025034,             0.00025034
                     18,                      0,                 42.339,                      0,                      0,                      0,                      0,                      0,                      0,                 21.579,                      0,             0.00024743,             0.00024743,             0.00024743
                     19,                      0,                 42.111,                      0,                      0,                      0,                      0,                      0,                      0,                 21.772,                      0,             0.00024452,             0.00024452,             0.00024452
                     20,                      0,                 41.892,                      0,                      0,                      0,                      0,                      0,                      0,                 22.141,                      0,             0.00024161,             0.00024161,             0.00024161
                     21,                      0,                 41.712,                      0,                      0,                      0,                      0,                      0,                      0,                  24.32,                      0,              0.0002387,              0.0002387,              0.0002387
